month,CHN,USA,DEU,NLD,JPN,FRA,ITA,GBR,KOR,HKG
2017-03,0.54393053826560389,0.55209209864509479,0.6299341624411342,0.33915297640717929,0.80030317000823914,0.46503591157560209,0.44365272587513982,0.98269427535880072,0.75926756652083893,0.9424844218136551
2017-04,0.35439868311101819,0.4673756170978477,0.036972553384010211,-0.19706323942192799,0.28367284728069192,-0.41825621099128191,-0.45336287827306271,0.069929285156161328,0.13577574370561329,0.61348237820191376
2017-05,0.50376486572271106,0.61108226274192678,0.48322714773580883,0.2906980267638225,0.029280926100868371,0.18687870182267999,0.51324510676299329,0.5648820295397512,0.51258929871779413,0.4953884628332908
2017-06,0.65557209399593874,0.66551781813064959,0.40908495724907501,0.25386425253905842,0.55361051638525716,0.37733973840137408,0.35478931660482038,0.54064481853107005,0.64658008072628492,0.98414625837926129
2017-07,0.57828666190484224,0.63186822496850981,0.52446646468098501,0.23590930805170801,0.3340008574400245,0.23119042784158081,0.48110140033317428,0.29679373524171188,0.44956455466791762,0.8249458874347203
2017-08,0.72879368511938836,0.77133606165910806,0.44869491109788151,0.31667543654461311,0.33800917617385318,-0.26585100263330769,-0.57297853700828205,0.07220292040662582,0.61562355206331243,0.80563048795764858
2017-09,0.82485215083471763,0.83960260401013209,0.78936235694259393,0.50433734099351368,0.70987215238823742,0.62213181263211814,0.55820106010841697,0.70456678462125266,0.93237939366418732,1.155055301309267
2017-10,0.57954772682653133,1.1323856700877459,0.76696464849774471,0.597310757660516,0.58563812679233274,0.67683470071050589,0.59045673823700384,0.69470219123337074,0.44987216804806313,0.86327243343868931
2017-11,1.00752544066955,1.0511782394525579,1.0023067621524659,0.93527075498133294,0.95085428688323992,0.82872126232062138,0.6946612016998911,0.78975821960917081,0.96099245425510516,1.2379190052443161
2017-12,1.2043560368339969,1.0569391369170931,0.50533326862864758,0.53823625439559719,1.1079496145117009,0.16413626111830951,0.2253040701234118,0.35698872611277932,0.88839658175909542,1.177067621836317
2018-01,0.77739645822959524,0.73581759292520654,0.95519783435738559,0.79759861347450822,0.52598001040069065,0.71969711876039588,0.47903374179582908,0.71662307666039116,0.88593235514907998,0.99171097621783633
2018-02,0.19153706863359921,0.57573706917882395,0.81478176477771025,0.49589811913705539,0.51458509257609109,0.47507181541707622,0.50616506503190295,0.70256877113653615,0.4769543910215277,-0.2224343144792868
2018-03,0.62349885352970269,1.041295483065573,1.3035865937606119,0.84156095090153238,1.112701017231247,1.3128829907134729,1.145434824351111,1.317460888581323,1.0750290128304989,1.015146419650109
2018-04,0.72368011097299756,0.77542445965763984,0.94960911164380168,0.50235866380092353,0.72551586852228911,0.62953134455260662,0.47566612787886081,0.84459101651519652,0.91653398501783634,0.78645238232165593
2018-05,0.87313372950025814,1.00763695271945,0.75107246469690259,0.6472969280698333,0.60110546674843746,0.45754652868047752,0.72656652134866351,1.0146032439759241,1.0715002373742291,1.0777658128777881
2018-06,0.87843822733103616,1.0015131124609269,0.89909573218812766,0.60628289582038164,0.77915988058800456,0.78282505387193302,0.81780581762280846,0.7321255893350076,1.007036865952746,1.0573250379936601
2018-07,0.98532270114358789,1.003620987897349,0.94160155997948924,0.54431327482087721,0.76937663523378441,0.72372653430732015,0.89919139260338476,0.7470526062940116,0.97426187747347348,1.1190679689047549
2018-08,0.98035235164417533,1.0494302936221369,0.48494799291195739,0.5400142642339455,0.70297230236705266,-0.25699008449140731,-0.54415180789894924,0.4450752259733109,0.95078006839135099,1.315007648840026
2018-09,1.180715483382512,1.0743510132301459,0.73683381892990707,0.65081819258220908,0.68535896471927704,0.42380047476726301,0.44755118185558102,0.70901447415760643,0.85704834397176499,1.2100878138001461
2018-10,0.93462023738825162,1.467083733015466,1.0731150284807249,0.93388886868194876,1.365792505956767,1.2010231085996439,0.95620801003234956,1.2805814806789879,1.292923151594531,1.3881275803688049
2018-11,1.0474725826794651,1.094327860585417,0.87983345117044409,0.9315749368007985,1.091773597393457,0.76140444335747492,0.67942276908776389,1.0821576176028149,1.009166983638111,1.16420586059177
2018-12,0.84010316151373154,1.057007636004563,0.1888044974181898,0.34877040101881718,1.0212522867411711,0.098726802499926797,0.1616844289380697,0.43815914833386971,0.83815439082951515,0.89589877705281529
2019-01,0.73057995070208648,0.71372751700965098,0.77797956835810278,0.6849785623081629,0.47909559904947802,0.59734125301743557,0.37937331730622992,0.85486626056208193,0.721258798255487,0.75637155903856723
2019-02,-0.1954816773738956,0.42621606722391547,0.69329717930470736,0.43672619904452542,0.18528355026409379,0.46714100281576831,0.34600991855349739,0.96891123783496458,0.090001618680599374,-0.42569300340089461
2019-03,0.57263259437960368,0.80294776305113491,1.005642723956419,0.74801108933513338,0.87258885062947089,1.0308614465978929,0.66984466765484096,1.7988710969477031,0.70272918623662828,0.92186994333932448
2019-04,0.5370161797030063,0.67385256363856294,0.57799956836825339,0.44346262091461769,0.59964297698300872,0.4904388171482153,0.27319985764684263,0.52112823442917466,0.87623102583581092,0.70621523917558005
2019-05,0.69715467203578607,0.86163713301209588,0.66115234921343191,0.61596147264896262,0.47381398225740662,0.6063201637917085,0.79756740753821731,0.55040113788542255,0.74564685914989159,0.78726731383241866
2019-06,0.64200074805094742,0.75330304000841808,0.45611393655494858,0.41200961042240281,0.56840839821679812,0.44916039941830987,0.48250501827285591,0.45116236134536231,0.4794121997984323,0.54190910127285341
2019-07,0.73705302497659608,0.90211988739012705,0.80475028006573035,0.59183467724401562,0.90734076881054093,0.84246070193851708,0.92146437002699,0.86875280302592972,0.73984189221693741,0.78021875690872988
2019-08,0.6818172339200681,0.9508844372859323,0.24338594979825179,0.29140056400742809,0.47998273986928047,-0.47018678599208291,-0.76776643673600509,0.49342791610030162,0.50766777970825061,0.93536933025038405
2019-09,0.74885639449868158,0.74864934619476475,0.68452020941108982,0.50404635430862887,0.57764420355415513,0.37258655767425369,0.38348132505473431,0.84579707597308662,0.45108218777816578,0.86244166861963356
2019-10,0.61479410489325725,0.96813242006578437,0.95237297922109898,0.89302273166372226,0.72599085986166867,0.96823888587994278,0.90902702279976866,1.4633335183245859,0.6593684615341191,0.82262096952068631
2019-11,0.77121292774526184,0.65646108172818318,0.62890993631550707,0.70143548910440545,0.61965926792510428,0.3009761442784008,0.31552552239319642,0.71422854779278744,0.59003565144994652,0.90538547643762968
2019-12,0.85027382145590491,0.61772690143391762,0.1308188216963887,0.40357653854478531,0.75969798493046092,0.050346067956431179,-0.092801884440203528,0.56588753005683745,0.78057278070788971,0.97670099365670726
2020-01,0.1834266870907276,0.3332625573602101,0.52831218430097937,0.60395942185029849,0.10345576270463611,0.14724818145835539,0.33509122446990852,0.66601355803747597,0.40389252482710541,-0.05609409864740679
2020-02,-0.52983509292777586,-0.064056535316546814,0.36765262353032457,0.25662438311502428,-0.46105733115149738,0.10569328440236481,0.30168983569302588,0.26300313820936783,0.1044966267185696,-0.45156667003018452
2020-03,0.32056019081526882,0.19038607158719789,0.52101008822859307,0.49190568555989961,0.43628926057648337,-0.16796326939539299,-0.13295170189241179,0.068224928510972158,0.80840257058648513,0.69231948445796321
2020-04,0.52564745502730159,-0.0011704336732934609,-0.56062755988148771,-0.15911414560925929,0.16866459000234801,-1.6377451706711099,-1.263155634546143,-1.1852358737801441,0.43902816936825789,0.73104347707801109
2020-05,0.57098903445553562,-0.096095077543944293,-0.41937725746916898,-0.1480562197469695,-0.67944513195429423,-1.153055479765059,-0.58476709460694865,-1.2165017450736,0.26863993781444379,0.62799487873545179
2020-06,0.69445273297924592,0.01506636677123763,0.037675158827553991,0.30232187140152211,-0.47436919980453318,-0.25719765436882353,0.074155100992577508,-0.36510566675585399,0.44586057974453791,0.52110845814058038
2020-07,0.95067408122399111,0.32084090012740779,0.40744755467782667,0.41263916498613629,-0.088159590986642042,0.039336544001303188,0.71095438295260638,-0.023268593520568891,0.56536771401734698,0.68224263442301913
2020-08,0.88179416753274753,0.50224747105373002,0.080085166568123242,0.12882559461388099,-0.24034497867982249,-0.81496433394935053,-0.74073856837604135,-0.37120315584560942,0.28487026891105799,0.85059743448262259
