multiplier_g,multiplier_h,lambda_g,lambda_h,rank_g,rank_h,penalized_rank_g,penalized_rank_h,converged,iterations,final_change,objective
2.0,1.8,8.651406456783862,7.786265811105476,0,0,0,0,True,1,0.0,682.9773573343936
2.0,2.0,8.651406456783862,8.651406456783862,0,0,0,0,True,1,0.0,682.9773573343936
2.0,2.4,8.651406456783862,10.381687748140633,0,0,0,0,True,1,0.0,682.9773573343936
2.0,2.8,8.651406456783862,12.111969039497406,0,0,0,0,True,1,0.0,682.9773573343936
2.0,3.2,8.651406456783862,13.84225033085418,0,0,0,0,True,1,0.0,682.9773573343936
2.4,0.4,10.381687748140633,1.7302812913567724,0,5,0,5,True,29,9.512251398190835e-07,666.4866836511105
2.4,0.6,10.381687748140633,2.5954219370351583,0,4,0,4,True,18,9.588271112327314e-07,674.1469906356921
2.4,0.8,10.381687748140633,3.460562582713545,0,3,0,3,True,13,4.240830516008241e-07,678.9603145416315
2.4,1.0,10.381687748140633,4.325703228391931,0,2,0,2,True,9,3.0700863423210975e-07,681.632853098672
2.4,1.2,10.381687748140633,5.190843874070317,0,1,0,1,True,5,9.57470035996616e-07,682.7707260719002
2.4,1.4,10.381687748140633,6.055984519748703,0,0,0,0,True,1,0.0,682.9773573343936
2.4,1.6,10.381687748140633,6.92112516542709,0,0,0,0,True,1,0.0,682.9773573343936
2.4,1.8,10.381687748140633,7.786265811105476,0,0,0,0,True,1,0.0,682.9773573343936
2.4,2.0,10.381687748140633,8.651406456783862,0,0,0,0,True,1,0.0,682.9773573343936
2.4,2.4,10.381687748140633,10.381687748140633,0,0,0,0,True,1,0.0,682.9773573343936
2.4,2.8,10.381687748140633,12.111969039497406,0,0,0,0,True,1,0.0,682.9773573343936
2.4,3.2,10.381687748140633,13.84225033085418,0,0,0,0,True,1,0.0,682.9773573343936
2.8,0.4,12.111969039497406,1.7302812913567724,0,5,0,5,True,29,9.512251398190835e-07,666.4866836511105
2.8,0.6,12.111969039497406,2.5954219370351583,0,4,0,4,True,18,9.588271112327314e-07,674.1469906356921
2.8,0.8,12.111969039497406,3.460562582713545,0,3,0,3,True,13,4.240830516008241e-07,678.9603145416315
2.8,1.0,12.111969039497406,4.325703228391931,0,2,0,2,True,9,3.0700863423210975e-07,681.632853098672
2.8,1.2,12.111969039497406,5.190843874070317,0,1,0,1,True,5,9.57470035996616e-07,682.7707260719002
2.8,1.4,12.111969039497406,6.055984519748703,0,0,0,0,True,1,0.0,682.9773573343936
2.8,1.6,12.111969039497406,6.92112516542709,0,0,0,0,True,1,0.0,682.9773573343936
2.8,1.8,12.111969039497406,7.786265811105476,0,0,0,0,True,1,0.0,682.9773573343936
2.8,2.0,12.111969039497406,8.651406456783862,0,0,0,0,True,1,0.0,682.9773573343936
2.8,2.4,12.111969039497406,10.381687748140633,0,0,0,0,True,1,0.0,682.9773573343936
2.8,2.8,12.111969039497406,12.111969039497406,0,0,0,0,True,1,0.0,682.9773573343936
2.8,3.2,12.111969039497406,13.84225033085418,0,0,0,0,True,1,0.0,682.9773573343936
3.2,0.4,13.84225033085418,1.7302812913567724,0,5,0,5,True,29,9.512251398190835e-07,666.4866836511105
3.2,0.6,13.84225033085418,2.5954219370351583,0,4,0,4,True,18,9.588271112327314e-07,674.1469906356921
